released,race,age,gender,employed,citizen,checks
1,0,21,1,1,1,3
0,0,20,1,1,1,5
1,1,21,1,1,1,1
1,0,17,1,1,1,1
0,0,17,1,0,1,0
1,0,19,1,1,1,1
1,0,24,1,1,1,1
1,1,24,1,1,1,1
1,0,23,1,1,1,1
1,0,16,0,1,1,0
1,0,16,1,1,1,0
0,1,29,0,0,1,4
1,1,22,1,0,1,1
0,1,20,1,0,1,4
1,0,20,1,1,1,2
1,0,22,1,1,1,3
1,0,15,1,1,1,0
1,0,15,1,1,1,0
1,0,20,1,1,1,2
1,0,27,1,1,1,1
1,0,43,1,1,1,4
1,1,25,1,1,1,1
0,0,19,1,1,1,3
1,0,16,1,1,1,0
1,1,25,1,1,0,2
1,0,19,1,1,1,0
1,0,21,1,0,1,0
1,0,17,1,1,0,4
0,0,22,1,1,1,4
1,0,20,0,1,1,0
0,0,36,1,1,1,3
1,1,24,1,1,1,4
1,0,21,1,1,0,0
0,0,45,1,1,1,0
1,0,16,0,1,1,0
1,1,27,1,1,1,3
1,1,20,1,1,1,0
1,0,19,1,0,1,0
0,0,17,0,1,1,0
1,1,18,1,1,1,3
1,1,18,1,1,0,3
1,0,51,1,0,1,0
1,0,19,1,1,1,3
1,0,26,1,1,1,0
1,0,15,1,1,1,2
1,0,41,1,1,1,2
1,0,20,0,1,1,0
0,1,36,1,1,1,3
1,1,21,1,0,1,1
1,0,41,1,1,1,0
1,1,15,1,0,1,0
1,0,18,1,1,1,0
1,0,22,1,0,1,4
1,0,20,1,1,1,0
1,1,23,1,1,1,4
1,0,28,1,1,1,1
1,0,20,1,1,1,4
1,0,16,1,1,1,0
1,1,21,1,0,1,3
1,1,38,1,1,0,1
1,0,26,1,1,1,0
1,0,16,1,1,1,2
1,1,18,1,1,1,0
1,1,16,1,1,0,0
1,0,19,1,1,1,2
1,1,16,1,1,1,1
1,0,36,1,1,1,3
1,1,19,1,1,1,1
1,1,29,1,1,0,3
1,0,25,1,0,1,1
1,0,20,1,1,1,0
1,1,36,1,1,1,2
0,1,23,1,1,0,4
1,0,19,1,0,0,1
1,0,21,1,1,1,0
1,1,26,1,1,1,3
1,1,24,1,0,1,3
0,1,19,1,0,1,5
1,0,14,0,1,1,3
1,0,19,1,0,1,2
1,1,24,1,1,1,4
1,1,20,1,0,1,3
1,0,21,1,1,1,0
1,0,29,1,0,1,3
1,0,31,1,1,1,2
0,1,24,1,1,1,3
0,0,26,1,0,1,1
1,1,14,1,1,1,4
0,1,18,1,1,1,4
1,0,14,1,1,1,0
0,0,20,1,0,1,3
1,0,25,1,1,0,0
1,0,32,1,1,1,3
1,1,17,1,0,1,5
0,0,17,1,1,1,3
1,0,28,1,1,1,2
1,0,23,1,1,1,0
1,0,40,1,1,1,3
1,0,15,1,1,1,3
1,0,21,1,1,1,2
1,1,17,1,0,1,0
0,0,30,1,0,1,2
1,0,16,1,1,1,0
0,0,15,1,1,1,0
1,0,21,1,0,1,3
1,1,29,1,1,1,1
1,0,16,0,1,1,0
1,0,20,1,1,1,2
0,0,24,0,1,1,0
1,0,25,1,1,1,0
0,0,19,1,0,1,3
1,0,45,1,1,1,1
1,0,21,1,1,1,2
0,1,26,1,1,1,2
1,1,16,1,1,0,0
1,1,42,1,1,1,0
1,0,14,0,1,1,0
1,1,20,0,0,0,3
1,0,26,1,1,1,3
1,0,27,1,0,1,4
1,0,20,1,1,1,0
1,0,16,0,1,1,0
1,0,15,1,1,1,1
1,0,29,1,1,1,5
1,0,26,1,1,1,4
1,1,59,1,0,1,3
0,0,17,1,1,1,0
1,1,19,1,1,0,1
1,1,26,1,1,1,2
1,0,38,1,1,1,1
1,1,17,1,1,1,0
1,1,28,1,1,0,4
1,0,21,1,1,1,0
0,1,16,1,1,1,5
1,1,21,1,1,1,1
1,0,14,0,1,1,0
1,0,17,1,1,0,0
1,1,17,1,1,1,0
1,0,21,1,1,1,4
0,0,17,1,1,1,3
0,0,19,1,0,0,0
1,0,26,1,1,1,2
0,0,22,1,1,1,0
1,1,20,1,1,1,2
1,0,17,1,1,1,0
1,1,18,1,1,1,2
0,1,27,1,1,0,4
0,1,34,1,1,0,4
1,1,22,1,0,1,0
1,0,22,1,1,1,4
1,0,15,1,1,1,0
0,0,19,1,1,1,4
1,0,23,1,0,1,3
0,1,20,1,1,0,3
1,0,16,1,1,1,1
0,0,20,1,0,1,3
0,1,24,1,0,1,3
1,0,21,1,0,1,1
1,0,18,1,1,1,1
1,1,20,1,0,0,4
1,0,24,1,0,1,4
0,0,27,1,1,1,4
1,0,26,1,1,1,1
1,1,32,1,1,1,1
1,0,15,1,1,1,0
1,0,19,1,1,1,3
1,0,16,1,1,0,0
1,0,18,1,1,1,2
1,0,21,1,0,0,1
1,1,15,1,1,1,0
1,0,22,1,1,1,0
1,1,18,1,1,1,0
1,0,25,1,1,1,0
1,0,21,1,0,1,2
1,0,18,1,1,1,0
1,0,31,1,1,1,0
1,0,21,1,1,1,2
1,0,20,1,1,1,0
1,0,35,0,0,1,2
0,0,25,1,0,1,0
1,1,19,1,0,1,4
1,0,56,1,1,1,0
1,1,17,1,1,1,1
1,0,19,1,1,1,2
1,0,14,1,1,1,0
0,0,37,1,1,1,2
1,0,33,1,1,1,0
1,1,22,1,0,1,0
1,0,33,1,1,1,2
1,0,19,1,1,1,1
0,1,18,1,1,1,1
1,0,20,1,1,1,0
1,1,35,1,1,1,0
1,0,26,1,1,1,3
1,1,19,1,1,1,2
1,0,16,1,1,1,1
1,0,21,1,0,0,3
1,0,29,1,1,1,2
1,1,27,1,1,1,1
1,0,25,1,0,1,3
0,0,20,1,0,1,3
1,0,18,1,1,1,4
1,0,21,1,1,0,0
1,0,36,1,1,1,0
1,0,17,1,1,1,0
1,0,21,1,1,1,1
1,0,18,1,1,1,0
1,0,21,1,1,1,3
1,0,21,1,1,1,0
0,1,39,0,1,1,1
1,1,22,1,0,1,2
1,0,24,1,1,1,0
1,0,21,1,1,1,0
1,0,18,1,1,1,0
0,1,17,1,0,1,4
1,1,30,0,0,1,0
1,1,21,1,1,1,3
1,0,19,1,1,1,4
1,1,33,1,1,1,0
1,1,19,1,1,1,2
1,0,35,1,1,1,2
1,0,22,1,1,1,2
1,1,26,1,1,1,3
1,0,28,1,1,1,1
0,0,23,1,1,1,3
1,0,20,1,1,0,0
0,0,17,1,1,1,0
1,1,18,1,1,1,2
1,0,53,0,0,1,1
1,0,36,1,1,1,4
1,0,19,1,1,0,1
1,0,17,1,1,1,1
1,0,18,1,1,1,0
1,0,23,1,1,1,0
1,0,15,1,1,1,0
0,0,20,1,0,1,0
1,0,16,1,1,1,3
1,0,45,1,1,1,3
0,0,18,1,1,1,0
1,1,28,1,1,1,3
1,0,18,1,0,1,2
0,1,40,1,1,0,3
1,1,22,1,1,1,0
0,0,21,1,0,1,2
0,0,25,1,0,1,2
1,1,20,1,1,1,1
1,0,24,1,0,1,0
1,0,23,1,1,1,3
1,0,24,1,1,1,0
0,0,16,1,1,1,1
1,0,19,1,1,0,0
0,0,31,1,0,1,4
0,0,19,1,0,1,2
1,1,30,1,0,1,4
1,0,16,1,1,1,0
1,1,18,1,1,1,2
1,0,30,1,1,1,0
1,0,19,1,1,1,0
1,0,27,1,1,1,4
1,0,34,1,1,1,4
1,0,25,1,1,1,1
1,0,30,1,1,1,0
0,0,37,1,0,1,3
0,0,23,1,1,1,4
1,0,15,1,1,1,2
0,1,16,1,0,1,4
0,0,16,0,0,1,2
1,0,31,1,0,1,0
1,1,35,1,0,0,2
1,1,34,1,1,1,3
0,0,16,1,1,1,0
1,1,16,1,1,1,0
1,0,45,1,0,1,3
1,0,46,1,1,1,1
1,0,30,1,1,1,3
1,0,19,1,1,1,1
1,0,22,1,1,1,0
