CID,race,gender,birthord,magebirth,medu,bthwht,breastfed,math,read,hhnum
303,3,0,3,24,13,0,1,74,80,5
1601,3,1,1,31,13,0,1,105,135,5
1901,3,0,1,29,12,0,1,91,109,2
2001,3,0,1,30,16,0,0,112,135,3
2501,3,1,1,30,14,0,1,105,117,4
2701,3,0,1,27,16,0,1,102,120,4
2702,3,1,2,31,16,0,1,103,109,4
3501,3,0,1,26,13,0,0,99,110,4
3701,3,0,1,31,12,0,1,115,118,3
4302,3,0,2,27,12,0,0,98,81,5
4402,3,0,2,24,12,0,0,100,112,4
4902,3,1,2,28,14,0,1,104,92,4
5001,3,1,1,26,12,0,1,111,112,5
5002,3,1,2,29,12,0,0,107,105,5
5802,3,0,2,27,17,0,0,122,115,5
5803,3,1,3,31,17,0,0,112,123,5
6101,3,0,1,30,14,0,1,116,125,4
7801,3,0,1,31,16,0,1,123,135,5
7802,3,0,2,34,16,0,1,106,109,5
8901,2,0,1,27,16,0,1,97,108,6
9202,3,1,2,29,12,0,0,85,106,4
9501,3,1,1,25,12,0,1,113,108,5
9502,3,1,2,26,12,0,1,89,94,5
9503,3,1,3,28,12,0,1,121,128,5
9602,3,0,2,25,11,0,0,101,109,4
9701,3,1,1,29,12,1,0,115,113,4
9702,3,1,2,31,12,1,0,99,106,4
9801,3,1,1,30,13,0,1,123,112,5
9901,3,1,1,29,14,0,0,115,135,4
10001,3,1,1,21,12,0,1,105,115,3
11103,3,1,3,27,12,0,1,103,107,5
12401,3,0,1,27,15,0,0,113,116,4
12402,3,1,2,28,15,0,0,120,118,4
12802,3,0,2,27,12,0,0,93,106,4
13301,3,1,1,29,12,0,1,116,121,3
13701,3,1,1,26,16,0,0,126,125,4
13702,3,0,2,29,16,0,0,116,113,4
13801,3,1,1,26,16,0,0,135,121,5
13802,3,1,2,28,16,0,1,120,131,5
14901,3,0,1,27,12,0,1,107,112,4
15301,3,1,1,22,12,0,0,89,100,3
15302,3,0,2,23,12,0,0,84,107,3
15801,3,0,1,26,16,0,0,86,116,4
15802,3,1,2,30,16,0,0,93,120,4
16001,3,1,1,30,14,0,0,102,105,3
16501,3,0,1,27,12,0,1,102,123,5
16502,3,0,2,31,12,0,1,107,109,5
16701,3,1,1,24,12,0,1,104,98,3
16702,3,0,2,27,12,0,1,97,102,3
17401,1,1,1,25,13,0,0,111,107,4
17402,1,1,2,29,13,0,0,105,112,4
18003,3,1,3,27,16,0,0,112,115,6
18301,3,1,1,26,12,0,1,88,103,5
18302,3,1,2,29,12,0,1,90,77,5
18303,3,0,3,32,12,0,1,102,114,5
18601,3,1,1,31,18,0,1,93,102,3
19201,3,0,1,27,16,0,1,112,107,4
20402,1,0,2,27,11,0,1,117,116,3
22101,2,1,1,21,10,0,1,69,65,5
22102,2,1,2,23,10,0,0,80,89,5
22103,2,0,3,24,10,0,0,65,65,5
22104,2,0,4,26,10,0,0,100,93,5
22703,2,1,3,27,9,0,0,107,103,3
22901,3,1,1,29,11,0,1,103,105,2
23101,3,0,1,32,12,0,0,100,112,4
23601,3,1,1,26,13,0,0,125,113,5
23602,3,1,2,29,13,0,0,109,98,5
24001,3,1,1,22,12,0,1,116,102,4
