customer_id,customer_state,account_age_days,international_plan,voice_mail_plan,number_vmail_messages,total_day_calls,total_eve_calls,total_night_calls,total_intl_calls,total_minutes,total_charges,customer_support_calls,
1707,DC,24,no,no,0,73,81,69,3,527.2,49.53,2,
2709,VA,95,no,no,0,88,68,104,8,615.4,63.56,0,
2635,CT,144,yes,yes,35,127,93,90,3,663,63.36,0,
359,MA,120,no,no,0,100,129,92,2,512.7,51.09,1,
536,MD,106,no,no,0,89,67,90,4,495.6,58.69,3,
178,DE,95,no,no,0,95,101,113,4,522,56.66,2,
1423,OH,114,no,no,0,88,78,118,0,587,57.36,0,
405,NV,76,yes,no,0,120,96,67,1,702.9,73.25,1,
59,WY,62,no,no,0,132,100,109,5,642.1,62.14,0,
2894,NY,54,no,no,0,73,108,107,5,725,79.97,1,
